匂,にお∙う fragrant
枷,かせ/カ shackles
乖,そむ∙く/カイ oppose
嶺,みね/レイ peak
漿,こんず/ショウ a drink
世,よ/セイ generation
恥,は∙じる/チ shame
爪,つめ/ソウ claw
廃,すた∙れる/ハイ abolish
浜,はま/ヒン seacoast
訝,いぶか∙る/ガ doubt
蛤,はまぐり/コウ clam
惜,お∙しい/セキ pity
赴,おもむ∙く/フ proceed
晄,あきらか/コウ clear
咸,カン all
侮,あなど∙る/ブ scorn
冑,かぶと/チュウ helmet
惱,なや∙む/ノウ angered
矩,かね/ク ruler
蟲,むし/チュウ insect
斗,ト Big Dipper
科,カ department
淹,い∙れる/エン dip
限,かぎ∙る/ゲン limit
哮,た∙ける/コウ roar
千,ち/セン thousand
民,たみ/ミン people
訪,おとず∙れる/ホウ call on
転,ころ∙がる/テン revolve
陽,ひ/ヨウ sunshine
狹,せま∙い/キョウ narrow
獣,けもの/ジュウ animal
詢,はか∙る/ジュン consult with
兜,かぶと/トウ helmet
畳,たた∙む/ジョウ tatami mat
短,みじか∙い/タン short
詩,うた/シ poem
将,まさ∙に/ショウ leader
慄,ふる∙える/リツ fear
薔,みずたで/バ a kind of grass
叶,かな∙える/キョウ grant
貶,けな∙す/ヘン degrade
厩,うまや/キュウ barn
痘,トウ pox
搦,から∙める/ジャク bind
登,のぼ∙る/トウ ascend
壺,つぼ/コ jar
槙,まき/テン twig
櫓,やぐら/ロ oar
浮,う∙く/フ floating
舵,かじ/ダ rudder
與,あた∙える/ヨ participate in
認,みと∙める/ニン acknowledge
紅,べに/コウ crimson
所,ところ/ショ place
鬼,おに/キ ghost
畫,えが∙く/ガ picture
滯,とどこお∙る/タイ block up
鱒,ます/ソン salmon trout
嗜,たしな∙む/シ like
右,みぎ/ウ right
過,す∙ぎる/カ overdo
慨,ガイ rue
乾,かわ∙く/カン drought
喧,やかま∙しい/ケン noisy
見,み∙る/ケン see
墨,すみ/ボク 
汗,あせ/カン sweat
堆,うずたか∙い/タイ piled high
前,まえ/ゼン in front
建,た∙てる/ケン build
受,う∙ける/ジュ accept
檸,ネイ lemon tree
